name,category,ticket_class,iso_code,members
K.I.M.,Solo,invited,250
Robeat,Solo,invited,276
Tatsuya,Solo,invited,392
Doeme,Solo,invited,348
Alem,Solo,invited,250
Dharni,Solo,invited,702
Yason,Solo,invited,826
Keumart,Solo,invited,756
Two.H,Solo,invited,410
Primitiv,Solo,invited,56
Beat Rhino,Solo,Wildcard 1,840
Sh0h,Solo,Wildcard 2,392
Babeli,Solo,Wildcard 3,276
Slizzer,Loopstation,invited,442
Masta Mic,Loopstation,invited,643
Grison,Loopstation,invited,724
Hans Beatbox,Loopstation,invited,756
Camero,Loopstation,invited,756
Faya Braz,Loopstation,invited,250
Scott Jackson,Loopstation,invited,124
