name,name_ja,lat,lon,iso_code
Japan,日本,35.6895,139.6917,392
United States,アメリカ,38.9072,-77.0369,840
Germany,ドイツ,52.52,13.405,276
France,フランス,48.8566,2.3522,250
South Korea,韓国,37.5665,126.978,410
Bulgaria,ブルガリア,42.6977,23.3219,100
Ireland,アイルランド,53.3498,-6.2603,372
Saudi Arabia,サウジアラビア,24.7136,46.6753,682
Canada,カナダ,45.4215,-75.6972,124
Russia,ロシア,55.7558,37.6176,643
Malaysia,マレーシア,3.139,101.6869,458
Iran,イラン,35.6892,51.389,364
Austria,オーストリア,48.2082,16.3738,40
Hong Kong,香港,22.3193,114.1694,344
Spain,スペイン,40.4168,-3.7038,724
Belgium,ベルギー,50.8503,4.3517,56
India,インド,28.6139,77.209,356
Denmark,デンマーク,55.6761,12.5683,208
Hungary,ハンガリー,47.4979,19.0402,348
Italy,イタリア,41.8719,12.5674,380
Chile,チリ,-33.4489,-70.6693,152
Netherlands,オランダ,52.1326,5.2913,528
United Kingdom,イギリス,51.5074,-0.1278,826
Indonesia,インドネシア,-6.2088,106.8456,360
Singapore,シンガポール,1.3521,103.8198,702
Israel,イスラエル,31.0461,34.8516,376
Ukraine,ウクライナ,48.3794,31.1656,804
