name,category,ticket_class,iso_code,members
Kenny Urban,Solo,GBB 2016 Champion,840,
NaPoM,Solo,GBB 2016 Vice Champion,840,
Babeli,Solo,GBB 2016 4th place,276,
Efaybee,Solo,GBB 2016 5th place,250,
Zhang Ze,Solo,GBB 2016 6th place,156,
Alexinho,Solo,GBB 7 to Smoke 2016 Champion,250,
Hiss,Solo,Wildcard 1,410,
Thorsen,Solo,Wildcard 2,208,
Jayton,Solo,Wildcard 3,643,
Slizzer,Solo,Wildcard 4,442,
Trung Bao,Solo,Wildcard 5,704,
Two.H,Solo,Wildcard 6,410,
BMG,Solo,Wildcard 7,250,
B-Art,Solo,Wildcard 8,528,
[cancelled] Zer0,Solo,Wildcard 9,31,
Chris Celiz,Solo,Wildcard 10,840,
HeartGrey,Solo,China Beatbox Championship 2016 Champion,344
Mad Twinz,Tag Team,Invited,643,"Pash, Jayton"
Spider Horse,Tag Team,Invited,840,"Gene Shinozaki, Chris Celiz"
K-PoM,Tag Team,Invited,840,"NaPoM, Kenny Urban"
D.T.N.,Tag Team,Invited,250,"Nin'oz, Andro"
Costik Storm,Tag Team,Invited,250,"Alexinho, Efaybee"
iLLDEM,Tag Team,Invited,392,"Ettoman, Tatsuaki"
Chakrabreaker,Tag Team,Invited,40,"Eon, Georgy"
A&Z,Tag Team,Invited,156,"Zhang Ze, Ah Xin"
MNSTWNSS,Tag Team,Invited,410,"Hiss, Two.H"
[cancelled] BURD,Tag Team,Invited,826,"Bellatrix, Grace Savage"
Thorsen,Loopstation,GBB 2016 Loopstation Champion,208,
Tioneb,Loopstation,GBB 2016 Loopstation Vice Champion,250,
Saro,Loopstation,Wildcard 1,250,
Robin,Loopstation,Wildcard 2,250,
Camero,Loopstation,Wildcard 3,756,
Slizzer,Loopstation,Invited,442,
MB14,Loopstation,Invited,250,
Penkyx,Loopstation,Invited,56,
[cancelled] Grace Savage,Loopstation,Invited,826,
